,opt_date,strike,lastPrice,dist OTM,% OTM,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,value
173,2020-05-22,76.5,4.99,-0.00499725341796875,-0.0065327841539191776,2.79,5.6,0.0,0.0,2.0,3.0,0.6108437353515627,1.0,1497.0
174,2020-07-17,72.5,5.1,3.9950027465820312,5.222566969265893,5.1,5.25,-0.1800003,-3.4090965,114.0,580.0,0.48291532714843755,0.0,295800.0
175,2020-05-22,77.0,5.12,-0.5049972534179688,-0.6601702533313958,4.65,6.05,0.0,0.0,,112.0,0.5539595385742189,1.0,57344.00000000001
176,2022-01-21,50.0,5.15,26.49500274658203,34.63625308225234,4.45,5.35,0.1500001,3.000002,11.0,234.0,0.46320116882324225,0.0,120510.00000000001
177,2020-08-21,70.0,5.15,6.495002746582031,8.490754315153277,5.25,5.4,-0.099999905,-1.9047601,1.0,1931.0,0.4864553308105469,0.0,994465.0000000001
178,2020-06-19,75.0,5.23,1.4950027465820312,1.9543796233785105,5.15,5.3,0.32999992,6.734692,434.0,8150.0,0.4888967126464845,0.0,4262450.0
179,2021-01-15,62.5,5.25,13.995002746582031,18.295316352815423,5.2,5.4,-0.1500001,-2.7777796,30.0,1553.0,0.46570358520507815,0.0,815325.0
180,2020-05-01,80.0,5.32,-3.5049972534179688,-4.581995068396255,5.05,5.3,0.0,0.0,26.0,36.0,0.5537154003906251,1.0,19152.0
181,2020-05-29,72.5,5.5,3.9950027465820312,5.222566969265893,1.05,5.5,0.0,0.0,,4.0,0.5120898400878906,0.0,2200.0
182,2020-05-22,71.5,5.6,4.995002746582031,6.529841907620846,0.96,4.0,0.0,0.0,,4.0,0.5131884619140624,0.0,2240.0
183,2020-05-22,78.0,5.6,-1.5049972534179688,-1.9674451916863491,4.35,5.8,0.0,0.0,,102.0,0.5415084912109377,1.0,57119.99999999999
184,2020-10-16,67.5,5.8,8.995002746582031,11.75894166104066,5.3,5.5,0.0,0.0,74.0,86.0,0.46497117065429694,0.0,49880.0
185,2020-05-29,80.0,5.81,-3.5049972534179688,-4.581995068396255,4.05,8.45,0.0,0.0,,2.0,0.6364782446289063,1.0,1162.0
186,2020-05-22,61.5,5.85,14.995002746582031,19.60259129117038,0.0,4.5,0.0,0.0,3.0,3.0,0.9094247338867187,0.0,1754.9999999999998
187,2020-08-21,67.5,5.95,8.995002746582031,11.75894166104066,4.5,4.65,0.0,0.0,6.0,341.0,0.5042774182128906,0.0,202895.0
188,2020-05-29,74.0,6.0,2.4950027465820312,3.261654561733464,1.62,5.7,0.0,0.0,5.0,7.0,0.6945831323242189,0.0,4200.0
189,2020-07-17,75.0,6.05,1.4950027465820312,1.9543796233785105,6.0,6.15,-0.25,-3.9682539,87.0,9069.0,0.46155323608398446,0.0,5486745.0
190,2020-06-19,77.5,6.25,-1.0049972534179688,-1.3138077225088725,6.3,6.4,0.19999981,3.3057818,1.0,3643.0,0.4703422106933594,1.0,2276875.0
191,2020-05-15,80.0,6.3,-3.5049972534179688,-4.581995068396255,6.15,6.35,0.4000001,6.779662,83.0,912.0,0.5151415673828125,1.0,574560.0
192,2021-01-15,65.0,6.35,11.495002746582031,15.027129006928043,5.9,6.1,0.1500001,2.4193563,23.0,3025.0,0.4519708123779297,0.0,1920875.0
193,2020-10-16,70.0,6.4,6.495002746582031,8.490754315153277,6.15,6.3,0.07999992,1.2658216,21.0,1845.0,0.450200810546875,0.0,1180800.0
194,2020-08-21,72.5,6.64,3.9950027465820312,5.222566969265893,6.1,6.25,0.63999987,10.666664,10.0,356.0,0.46924358886718753,0.0,236383.99999999997
195,2020-05-08,80.0,6.82,-3.5049972534179688,-4.581995068396255,5.7,5.95,-4.9999995,-42.30118,1.0,45.0,0.5390671093750001,1.0,30690.000000000004
196,2021-01-15,67.5,6.84,8.995002746582031,11.75894166104066,6.7,6.9,0.14000034,2.0895574,2.0,3115.0,0.43994700683593746,0.0,2130660.0
197,2022-01-21,55.0,6.94,21.49500274658203,28.099878390477574,6.25,6.6,0.0,0.0,5.0,207.0,0.4402521795654296,0.0,143658.00000000003
198,2020-07-17,77.5,7.2,-1.0049972534179688,-1.3138077225088725,7.15,7.25,-0.5500002,-7.0967765,177.0,1014.0,0.44507390869140623,1.0,730080.0
199,2022-01-21,57.5,7.22,18.99500274658203,24.831691044590194,6.15,7.4,0.0,0.0,2.0,129.0,0.43292803405761715,0.0,93138.0
200,2020-10-16,72.5,7.45,3.9950027465820312,5.222566969265893,7.05,7.25,0.0,0.0,5.0,564.0,0.4387873504638672,0.0,420180.0
201,2021-01-15,70.0,7.5,6.495002746582031,8.490754315153277,7.55,7.9,-0.25,-3.2258065,1.0,9520.0,0.43335527587890627,0.0,7140000.0
202,2020-06-19,80.0,7.56,-3.5049972534179688,-4.581995068396255,7.55,7.75,-1.0400004,-12.093028,51.0,3925.0,0.4588677160644532,1.0,2967300.0
203,2020-08-21,75.0,7.66,1.4950027465820312,1.9543796233785105,7.1,7.25,0.0,0.0,18.0,558.0,0.45483943603515625,0.0,427428.0
204,2020-05-29,77.0,7.69,-0.5049972534179688,-0.6601702533313958,3.4,6.55,0.0,0.0,,4.0,0.6232947827148438,1.0,3076.0
205,2022-01-21,60.0,7.8,16.49500274658203,21.563503698702807,7.35,8.15,-0.3000002,-3.7037058,13.0,2294.0,0.42249112670898437,0.0,1789320.0
206,2020-05-15,82.5,7.87,-6.004997253417969,-7.850182414283638,7.75,7.95,0.28999996,3.8258572,16.0,131.0,0.5107470800781251,1.0,103097.0
207,2022-01-21,52.5,8.2,23.99500274658203,31.368065736364958,5.6,6.0,0.0,0.0,1.0,2.0,0.4533135723876953,0.0,1639.9999999999998
208,2020-08-21,77.5,8.46,-1.0049972534179688,-1.3138077225088725,8.25,8.45,0.0,0.0,4.0,717.0,0.445318046875,1.0,606582.0000000001
209,2020-10-16,75.0,8.55,1.4950027465820312,1.9543796233785105,8.05,8.25,0.7000003,8.917201,3.0,822.0,0.4252376812744141,0.0,702810.0
210,2021-01-15,72.5,8.61,3.9950027465820312,5.222566969265893,8.55,8.8,-0.2300005,-2.6018155,3.0,3040.0,0.4194393994140625,0.0,2617440.0
211,2020-10-16,77.5,9.08,-1.0049972534179688,-1.3138077225088725,9.15,9.4,0.0,0.0,15.0,740.0,0.4141904284667969,1.0,671920.0
212,2020-07-17,80.0,9.2,-3.5049972534179688,-4.581995068396255,8.35,8.5,0.0,0.0,16.0,8300.0,0.4290828576660156,1.0,7636000.0
213,2020-05-08,85.0,9.25,-8.504997253417969,-11.11836976017102,9.05,10.15,0.0,0.0,2.0,5.0,0.5468795312500001,1.0,4625.0
214,2020-05-01,85.0,9.68,-8.504997253417969,-11.11836976017102,8.85,9.15,0.0,0.0,14.0,23.0,0.524418818359375,1.0,22264.0
215,2020-06-19,82.5,9.72,-6.004997253417969,-7.850182414283638,9.05,9.2,0.0,0.0,15.0,2338.0,0.4419001123046875,1.0,2272536.0
216,2020-05-22,85.0,9.73,-8.504997253417969,-11.11836976017102,7.9,12.45,0.0,0.0,1.0,3.0,0.7702659692382813,1.0,2919.0
217,2020-05-15,85.0,9.77,-8.504997253417969,-11.11836976017102,9.65,9.85,0.07000065,0.7216562,11.0,448.0,0.507817421875,1.0,437696.0
218,2021-01-15,75.0,9.82,1.4950027465820312,1.9543796233785105,9.6,9.85,0.119999886,1.2371123,59.0,9160.0,0.4085752502441406,0.0,8995120.0
219,2020-08-21,80.0,10.1,-3.5049972534179688,-4.581995068396255,9.5,9.7,0.8600006,9.307366,4.0,1156.0,0.43201251586914063,1.0,1167560.0
220,2020-08-21,97.5,10.15,-21.00499725341797,-27.459306489607936,22.0,23.55,0.0,0.0,11.0,23.0,0.4804739453125,1.0,23345.0
221,2020-07-17,82.5,10.4,-6.004997253417969,-7.850182414283638,9.7,10.0,0.0,0.0,1.0,616.0,0.4202938830566406,1.0,640640.0
222,2022-01-21,67.5,10.6,8.995002746582031,11.75894166104066,10.4,10.75,0.0,0.0,1.0,507.0,0.3942321319580079,0.0,537420.0
223,2022-01-21,65.0,10.67,11.495002746582031,15.027129006928043,9.4,9.85,0.0,0.0,156.0,931.0,0.4039976593017578,0.0,993377.0
224,2020-05-22,80.0,10.69,-3.5049972534179688,-4.581995068396255,3.65,7.9,0.0,0.0,,2.0,0.63867548828125,1.0,2138.0
225,2021-01-15,77.5,10.86,-1.0049972534179688,-1.3138077225088725,10.8,11.0,0.0,0.0,1.0,2338.0,0.39838248107910157,1.0,2539068.0
226,2020-10-16,80.0,10.95,-3.5049972534179688,-4.581995068396255,10.45,10.7,0.0,0.0,1.0,200.0,0.405279384765625,1.0,219000.0
227,2020-08-21,82.5,11.19,-6.004997253417969,-7.850182414283638,10.85,11.2,0.0,0.0,2.0,334.0,0.4260311303710938,1.0,373746.0
228,2022-01-21,70.0,11.4,6.495002746582031,8.490754315153277,11.4,11.75,-0.40000057,-3.3898354,12.0,625.0,0.3859314337158203,0.0,712500.0
229,2020-06-19,85.0,11.7,-8.504997253417969,-11.11836976017102,10.75,10.95,0.0,0.0,29.0,3321.0,0.4370173486328125,1.0,3885569.9999999995
230,2020-07-17,85.0,12.22,-8.504997253417969,-11.11836976017102,11.4,11.6,0.0,0.0,8.0,1341.0,0.40845318115234375,1.0,1638702.0
231,2022-01-21,62.5,12.7,13.995002746582031,18.295316352815423,8.2,8.95,0.0,0.0,324.0,329.0,0.4124204266357422,0.0,417830.0
232,2021-01-15,80.0,12.72,-3.5049972534179688,-4.581995068396255,12.1,12.3,-2.0199995,-13.704204,20.0,4810.0,0.3906921282958984,1.0,6118320.0
233,2020-05-15,87.5,12.72,-11.004997253417969,-14.386557106058403,11.7,11.95,0.0,0.0,17.0,108.0,0.5131884619140624,1.0,137376.0
234,2022-01-21,72.5,13.35,3.9950027465820312,5.222566969265893,12.05,12.85,0.0,0.0,6.0,146.0,0.3789734954833984,0.0,194910.0
235,2020-10-16,85.0,13.4,-8.504997253417969,-11.11836976017102,13.35,13.65,0.0,0.0,2.0,158.0,0.38910523010253906,1.0,211720.00000000003
236,2020-07-17,87.5,13.92,-11.004997253417969,-14.386557106058403,13.15,13.45,0.0,0.0,10.0,704.0,0.405279384765625,1.0,979968.0
237,2022-01-21,75.0,14.02,1.4950027465820312,1.9543796233785105,13.65,14.0,0.12000084,0.8633154,20.0,1023.0,0.37183245361328127,0.0,1434246.0
238,2020-05-15,90.0,14.45,-13.504997253417969,-17.654744451945785,13.85,14.55,0.0,0.0,13.0,21.0,0.5273484765625001,1.0,30345.0
239,2020-05-29,85.0,14.65,-8.504997253417969,-11.11836976017102,8.3,12.85,0.0,0.0,,1.0,0.7429224926757811,1.0,1465.0
240,2020-08-21,85.0,14.8,-8.504997253417969,-11.11836976017102,12.45,12.65,0.0,0.0,1.0,1157.0,0.4102842175292969,1.0,1712360.0000000002
